movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
The Hobbit: The Battle of the Five Armies,10/12/14,"Adventure,Fantasy",144,Peter Jackson,"producer,director,writer",1961,alive,7.4,539316,7.053928727,250000000,255119788,940323039
The Fate of the Furious,7/4/17,"Action,Crime,Thriller",136,F. Gary Gray,"director,actor,producer",1969,alive,6.6,235554,5.874841340002054,250000000,225764765,1236703796
No Time to Die,29/9/21,"Action,Adventure,Thriller",163,Cary Joji Fukunaga,"producer,director,writer",1977,alive,7.3,407964,6.8069075728109905,250000000,160891007,759959662
Avatar,17/12/09,"Action,Adventure,Fantasy",162,James Cameron,"writer,producer,director",1954,alive,7.9,1316701,8.058260735,237000000,785221649,2923706026
Superman Returns,28/6/06,"Action,Adventure,Sci-Fi",154,Bryan Singer,"producer,director,actor",1965,alive,6.1,285379,5.505906936,232000000,200120000,391081192
The Dark Knight Rises,19/7/12,"Action,Drama",164,Christopher Nolan,"writer,producer,director",1970,alive,8.4,1715219,8.740035233306626,230000000,448139099,1082228107
Pirates of the Caribbean: Dead Men Tell No Tales,23/5/17,"Action,Adventure,Fantasy",129,-,-,-,-,6.5,317158,5.926087846,230000000,172558876,794861794
Quantum of Solace,14/11/08,"Action,Adventure,Mystery",106,Marc Forster,"producer,director,writer",1969,alive,6.6,453199,6.192610824190399,230000000,169368427,591692078
The Avengers,25/4/12,"Action,Sci-Fi",143,Joss Whedon,"writer,producer,director",1964,alive,8,1398299,8.197323632535053,225000000,623357910,1515100211
Man of Steel,14/6/13,"Action,Adventure,Sci-Fi",143,Zack Snyder,"director,producer,writer",1966,alive,7.1,776933,6.953311491757371,225000000,291045518,667999518
The Chronicles of Narnia: Prince Caspian,16/5/08,"Action,Adventure,Family",150,Andrew Adamson,"producer,director,writer",1966,alive,6.5,214204,5.738393132395458,225000000,141621490,417341288
The Lone Ranger,2/7/13,"Action,Adventure,Western",150,Gore Verbinski,"director,producer,writer",1964,alive,6.4,237051,5.695804116260621,225000000,89302115,260002115
The Amazing Spider-Man,27/6/12,"Action,Adventure,Sci-Fi",136,Marc Webb,"producer,director,writer",1974,alive,6.9,662352,6.672728072135562,220000000,262030663,757890267
Battleship,11/4/12,"Action,Adventure,Sci-Fi",131,Peter Berg,"producer,actor,writer",1964,alive,5.8,250264,5.1726101094120915,220000000,65233400,313477717
Transformers: The Last Knight,20/6/17,"Action,Adventure,Sci-Fi",154,Michael Bay,"producer,director,actor",1965,alive,5.2,154974,4.440515098474721,217000000,130168683,602893340
Jurassic World,9/6/15,"Action,Adventure,Sci-Fi",124,Colin Trevorrow,"writer,producer,director",1976,alive,6.9,648398,6.661918582447434,215000000,652306625,1669963641
Men in Black 3,23/5/12,"Action,Adventure,Comedy",106,Barry Sonnenfeld,"producer,director,actor",1953,alive,6.8,367756,6.279739787287992,215000000,179020854,654213485
Transformers: Revenge of the Fallen,24/6/09,"Action,Adventure,Sci-Fi",149,Michael Bay,"producer,director,actor",1965,alive,5.9,410928,5.479333428445186,210000000,402111870,836519699
Transformers: Age of Extinction,25/6/14,"Action,Adventure,Sci-Fi",165,Michael Bay,"producer,director,actor",1965,alive,5.6,317585,5.087853719671651,210000000,245439076,1104054072
X-Men: The Last Stand,26/5/06,"Action,Adventure,Sci-Fi",104,Brett Ratner,"producer,director,music_department",1969,alive,6.6,521527,6.260802886347444,210000000,234362462,459260946
Robin Hood,14/5/10,"Action,Adventure,Drama",140,Ridley Scott,"producer,director,production_designer",1937,alive,6.6,272567,5.9457112410343935,210000000,105487148,322459006
King Kong,14/12/05,"Action,Adventure,Drama",187,Peter Jackson,"producer,director,writer",1961,alive,7.2,428249,6.7375625153066885,207000000,218080025,550517357
The Golden Compass,7/12/07,"Adventure,Family,Fantasy",113,Chris Weitz,"producer,writer,director",1969,alive,6.1,190939,5.325547068,205000000,70107728,367262558
Tenet,26/8/20,"Action,Sci-Fi,Thriller",150,Christopher Nolan,"writer,producer,director",1970,alive,7.3,514633,6.931662108,205000000,58504105,360240189
Spider-Man: No Way Home,14/12/21,"Action,Adventure,Fantasy",148,Jon Watts,"director,producer,writer",1981,alive,8.2,766560,8.042900040645625,200000000,814115070,1910048245
Black Panther,13/2/18,"Action,Adventure,Sci-Fi",134,Ryan Coogler,"producer,writer,director",1986,alive,7.3,781855,7.156284784522189,200000000,700059566,1336494320
Titanic,18/12/97,"Drama,Romance",194,James Cameron,"writer,producer,director",1954,alive,7.9,1186257,7.997621721075507,200000000,674171000,2222759773
Incredibles 2,15/6/18,"Action,Adventure,Animation",118,Brad Bird,"miscellaneous,writer,director",1957,alive,7.6,301929,6.923757977013962,200000000,608581744,1242805359
Rogue One: A Star Wars Story,14/12/16,"Action,Adventure,Sci-Fi",133,Gareth Edwards,"visual_effects,director,writer",1975,alive,7.8,645972,7.545908318214015,200000000,533539991,1055083596
Finding Dory,16/6/16,"Adventure,Animation,Comedy",97,-,-,-,-,7.3,280916,6.606503746660027,200000000,486295561,1025006125
Toy Story 4,20/6/19,"Adventure,Animation,Comedy",100,Josh Cooley,"actor,director,writer",\N,alive,7.7,255197,6.921329468283103,200000000,434038008,1073064540
Toy Story 3,18/6/10,"Adventure,Animation,Comedy",103,Lee Unkrich,"editorial_department,editor,miscellaneous",1967,alive,8.3,842260,8.200102493073304,200000000,415004880,1068879522
Doctor Strange in the Multiverse of Madness,4/5/22,"Action,Adventure,Fantasy",126,Sam Raimi,"producer,writer,director",1959,alive,6.9,423056,6.445144198314582,200000000,411331607,952224986
Iron Man 3,24/4/13,"Action,Adventure,Sci-Fi",130,Shane Black,"writer,actor,director",1961,alive,7.1,856737,7.004388484848575,200000000,408992272,1215392272
Spider-Man 2,30/6/04,"Action,Adventure,Sci-Fi",127,Sam Raimi,"producer,writer,director",1959,alive,7.4,660254,7.164084608470866,200000000,373524485,794697557
The Batman,1/3/22,"Action,Crime,Drama",176,Matt Reeves,"producer,writer,director",1966,alive,7.8,666559,7.563912548419399,200000000,369345583,767531825
Alice in Wonderland,4/3/10,"Adventure,Family,Fantasy",108,Tim Burton,"producer,miscellaneous,director",1958,alive,6.4,420168,5.9653264487041415,200000000,334191110,1025491110
Alice in Wonderland,4/3/10,"Fantasy,Musical",99,James Fotopoulos,"director,producer,writer",1976,alive,7.1,13,1.2080575532328128,200000000,334191110,1025491110
Skyfall,26/10/12,"Action,Adventure,Thriller",143,Sam Mendes,"producer,director,miscellaneous",1965,alive,7.8,702518,7.594065864,200000000,304360277,1110526981
The Hobbit: An Unexpected Journey,11/12/12,Fantasy,169,Peter Jackson,"producer,director,writer",1961,alive,7.8,834654,7.692972919071989,200000000,303003568,1014938545
Monsters University,21/6/13,"Adventure,Animation,Comedy",104,Dan Scanlon,"miscellaneous,producer,writer",1976,alive,7.2,364912,6.652778271801097,200000000,268488329,743455810
Oz the Great and Powerful,8/3/13,"Adventure,Family,Fantasy",130,Sam Raimi,"producer,writer,director",1959,alive,6.3,209625,5.547754825679142,200000000,234770996,490359051
X-Men: Days of Future Past,21/5/14,"Action,Adventure,Sci-Fi",132,Bryan Singer,"producer,director,actor",1965,alive,7.9,717548,7.7054200310524825,200000000,233921534,747862775
The Amazing Spider-Man 2,16/4/14,"Action,Adventure,Sci-Fi",142,Marc Webb,"producer,director,writer",1974,alive,6.6,503930,6.2441354582182775,200000000,202853933,708996336
Cars 2,23/6/11,"Adventure,Animation,Comedy",106,-,-,-,-,6.2,195182,5.425038061168907,200000000,191450875,560155383
Black Widow,7/7/21,"Action,Adventure,Sci-Fi",134,Cate Shortland,"director,writer,miscellaneous",1968,alive,6.7,384380,6.207246443686793,200000000,183651655,379751131
Fast & Furious Presents: Hobbs & Shaw,31/7/19,"Action,Adventure,Thriller",137,David Leitch,"stunts,producer,actor",\N,alive,6.5,216379,5.743224613367826,200000000,173956935,760732926
F9: The Fast Saga,20/5/21,"Action,Crime,Thriller",143,Justin Lin,"producer,director,writer",1971,alive,5.2,135716,4.3897480570339855,200000000,173005945,720752238
Tron: Legacy,17/12/10,"Action,Adventure,Sci-Fi",125,Joseph Kosinski,"director,writer,producer",1974,alive,6.8,341289,6.2423715593801195,200000000,172062763,399866199
Black Adam,19/10/22,"Action,Adventure,Fantasy",125,Jaume Collet-Serra,"director,producer",1974,alive,6.4,217701,5.655707338098316,200000000,168152111,391261706
2012,12/11/09,"Action,Adventure,Sci-Fi",158,Roland Emmerich,"writer,producer,director",1955,alive,5.8,381780,5.352832557702589,200000000,166112167,757677748
Eternals,3/11/21,"Action,Adventure,Fantasy",156,Chloé Zhao,"writer,director,producer",1982,alive,6.3,346556,5.780779112739637,200000000,164870264,401731759
Fantastic Beasts: The Crimes of Grindelwald,14/11/18,"Adventure,Family,Fantasy",134,David Yates,"director,producer,writer",1963,alive,6.5,287829,5.879682716833985,200000000,159555901,648455339
Terminator Salvation,21/5/09,"Action,Adventure,Sci-Fi",115,McG,"producer,director,miscellaneous",1968,alive,6.5,365649,5.994128594612116,200000000,125322469,365491792
Lightyear,15/6/22,"Action,Adventure,Animation",105,Angus MacLane,"animation_department,actor,director",1975,alive,6.1,108089,5.070175692126519,200000000,118307188,218768299
Jungle Cruise,28/7/21,"Action,Adventure,Comedy",127,Jaume Collet-Serra,"director,producer",1974,alive,6.6,194649,5.782217734597315,200000000,116987516,210469803
Green Lantern,17/6/11,"Action,Adventure,Sci-Fi",114,Martin Campbell,"director,producer,actor",1943,alive,5.5,287768,4.954749009374178,200000000,116601172,219535492
Fantastic Beasts: The Secrets of Dumbledore,6/4/22,"Adventure,Family,Fantasy",142,David Yates,"director,producer,writer",1963,alive,6.2,145189,5.290060431424351,200000000,95850844,404560145
Onward,28/2/20,"Adventure,Animation,Comedy",102,Dan Scanlon,"miscellaneous,producer,writer",1976,alive,7.4,152821,6.367351351339342,200000000,61555145,133357601
Wonder Woman 1984,16/12/20,"Action,Adventure,Fantasy",151,Patty Jenkins,"director,writer,producer",1971,alive,5.4,271841,4.839644285704568,200000000,46801036,166360232
Transformers: Dark of the Moon,29/6/11,"Action,Adventure,Sci-Fi",154,Michael Bay,"producer,director,actor",1965,alive,6.2,413304,5.767276735446691,195000000,352390543,1123794079
The Mummy,2/6/17,"Action,Adventure,Fantasy",111,Alex Kurtzman,"producer,writer,miscellaneous",1973,alive,5.4,193203,4.703974028928738,195000000,80101125,409953905
Jack the Giant Slayer,27/2/13,"Action,Adventure,Fantasy",114,Bryan Singer,"producer,director,actor",1965,alive,6.3,141141,5.3644032385146465,195000000,65187603,197687603
Furious 7,1/4/15,"Action,Crime,Thriller",137,James Wan,"producer,writer,director",1977,alive,7.1,393939,6.598530746143006,190000000,353007020,1514553486
Star Trek Into Darkness,16/5/13,"Action,Adventure,Sci-Fi",132,J.J. Abrams,"producer,writer,music_department",1966,alive,7.7,486220,7.2865279680568715,190000000,228778661,467381584
World War Z,19/6/13,"Action,Adventure,Horror",116,Marc Forster,"producer,director,writer",1969,alive,7,674856,6.780976951842739,190000000,202706711,531861650
The Great Gatsby,10/5/13,"Drama,Romance",143,Baz Luhrmann,"writer,producer,director",1962,alive,7.2,552799,6.872799839457871,190000000,144840419,353640419
Pacific Rim,11/7/13,"Action,Adventure,Sci-Fi",131,Guillermo del Toro,"writer,producer,director",1964,alive,6.9,507168,6.5372036031647145,190000000,101802906,411002906
The Matrix Resurrections,16/12/21,"Action,Sci-Fi",148,Lana Wachowski,"writer,producer,director",1965,alive,5.7,253860,5.087137352561872,190000000,40463197,159197755
The Good Dinosaur,25/11/15,"Adventure,Animation,Comedy",93,Peter Sohn,"actor,animation_department,art_department",1977,alive,6.7,118223,5.626025605206398,187500000,123087120,333771037
Iron Man,2/5/08,"Action,Adventure,Sci-Fi",126,Jon Favreau,"producer,actor,director",1966,alive,7.9,1066239,7.935623135389752,186000000,318604126,585171547
The Dark Knight,11/7/08,"Action,Crime,Drama",152,Christopher Nolan,"writer,producer,director",1970,alive,9,2669915,9.666756523123011,185000000,534987076,1006234167
Indiana Jones and the Kingdom of the Crystal Skull,22/5/08,"Action,Adventure",122,Steven Spielberg,"producer,writer,director",1946,alive,6.2,459414,5.815524625347974,185000000,317101119,786635413
Brave,21/6/12,"Adventure,Animation,Comedy",93,-,-,-,-,7.1,417029,6.628285530131559,185000000,237282182,554606532
Kong: Skull Island,23/2/17,"Action,Adventure,Fantasy",118,Jordan Vogt-Roberts,"director,producer,writer",1984,alive,6.6,323849,6.029424483209237,185000000,168052812,561072059
Star Trek Beyond,21/7/16,"Action,Adventure,Sci-Fi",122,Justin Lin,"producer,director,writer",1971,alive,7,248837,6.267135174774413,185000000,158848340,335673708
Maleficent: Mistress of Evil,17/10/19,"Adventure,Family,Fantasy",119,Joachim Rønning,"director,producer,writer",1972,alive,6.6,107946,5.495926648771709,185000000,113929605,489181357
Blade Runner 2049,29/9/17,"Action,Drama,Mystery",164,Denis Villeneuve,"director,writer,editor",1967,alive,8,583843,7.683251681030377,185000000,92054159,258829058
Terminator: Dark Fate,25/10/19,"Action,Adventure,Sci-Fi",128,Tim Miller,"producer,writer,director",1964,alive,6.2,180934,5.390460647871416,185000000,62253077,250367666
The Suicide Squad,28/7/21,"Action,Adventure,Comedy",132,James Gunn,"writer,producer,director",1966,alive,7.2,358252,6.643020670984955,185000000,55817425,167097737
Aladdin,22/5/19,"Adventure,Comedy,Family",128,Guy Ritchie,"writer,director,producer",1968,alive,6.9,270240,6.217610316485014,182000000,355559216,1046587513
Thor: Ragnarok,25/10/17,"Action,Adventure,Comedy",130,Taika Waititi,"producer,writer,actor",1975,alive,7.9,759901,7.738753354468393,180000000,315058289,850482778
Maleficent,28/5/14,"Adventure,Family,Fantasy",97,Robert Stromberg,"visual_effects,director,producer",\N,alive,6.9,380737,6.391638150943009,180000000,241407328,758536735
Fantastic Beasts and Where to Find Them,14/11/16,"Adventure,Family,Fantasy",132,David Yates,"director,producer,writer",1963,alive,7.2,481094,6.7992020176165715,180000000,234037575,811724385
Rush Hour 3,10/8/07,"Action,Comedy,Crime",91,Brett Ratner,"producer,director,music_department",1969,alive,6.2,172160,5.367785546649506,180000000,140125968,256585882
The Legend of Tarzan,27/6/16,"Action,Adventure,Drama",110,David Yates,"director,producer,writer",1963,alive,6.2,179329,5.386396113697128,180000000,126643061,348902025
Hugo,23/11/11,"Adventure,Drama,Family",126,Martin Scorsese,"producer,director,actor",1942,alive,7.5,326063,6.873355041,180000000,73864507,180047784
Valerian and the City of a Thousand Planets,20/7/17,"Action,Adventure,Fantasy",136,Luc Besson,"writer,producer,director",1959,alive,6.4,184549,5.577914303629846,180000000,40479370,215098356
Jupiter Ascending,6/2/15,"Action,Adventure,Sci-Fi",127,-,-,-,-,5.3,190035,4.607975041002418,179000000,47482519,181982519
X-Men: Apocalypse,18/5/16,"Action,Adventure,Sci-Fi",144,Bryan Singer,"producer,director,actor",1965,alive,6.9,439904,6.4649696371246375,178000000,155442489,542537546
The Meg,9/8/18,"Action,Horror,Sci-Fi",113,Jon Turteltaub,"producer,director,writer",1963,alive,5.6,174428,4.8409572269217325,178000000,145443742,527267828
Edge of Tomorrow,28/5/14,"Action,Adventure,Sci-Fi",113,Doug Liman,"producer,director,miscellaneous",1965,alive,7.9,685811,7.679125884760698,178000000,100206256,367028980
Captain Marvel,6/3/19,"Action,Adventure,Sci-Fi",123,-,-,-,-,6.8,566455,6.4958629701265025,175000000,426829839,1129576094
The Jungle Book,7/4/16,"Adventure,Drama,Family",106,Jon Favreau,"producer,actor,director",1966,alive,7.4,280319,6.697651369676148,175000000,364001123,953535821
Inside Out,12/6/15,"Adventure,Animation,Comedy",95,-,-,-,-,8.2,721195,8.006095716796121,175000000,356461711,850566343
Spider-Man: Homecoming,5/7/17,"Action,Adventure,Sci-Fi",133,Jon Watts,"director,producer,writer",1981,alive,7.4,664568,7.167630428633221,175000000,334201140,878271291
Suicide Squad,2/8/16,"Action,Adventure,Fantasy",123,David Ayer,"writer,producer,director",1968,alive,5.9,691152,5.705036543,175000000,325100054,745744980
Up,28/5/09,"Adventure,Animation,Comedy",96,-,-,-,-,8.3,1051560,8.335636120735376,175000000,293004164,731463377
Coco,27/10/17,"Adventure,Animation,Comedy",105,-,-,-,-,8.4,516618,7.998402995,175000000,210460015,797660271
Coco,27/10/17,Horror,98,Neil Boultby,"director,writer,editor",\N,alive,7.4,37,1.8341560360677507,175000000,210460015,797660271
Monsters vs. Aliens,27/3/09,"Action,Adventure,Animation",94,-,-,-,-,6.4,165805,5.527481759048554,175000000,198351526,381687380
Cars 3,16/6/17,"Adventure,Animation,Comedy",102,Brian Fee,"art_department,animation_department,miscellaneous",1975,alive,6.7,104107,5.563344908696729,175000000,152901115,383541369
G.I. Joe: The Rise of Cobra,7/8/09,"Action,Adventure,Sci-Fi",118,Stephen Sommers,"producer,writer,director",1962,alive,5.7,210346,5.008282057550469,175000000,150201498,302469017
Wild Wild West,30/6/99,"Action,Comedy,Sci-Fi",106,Barry Sonnenfeld,"producer,director,actor",1953,alive,4.9,162697,4.194258810461216,175000000,113805681,221229335
The Mummy: Tomb of the Dragon Emperor,1/8/08,"Action,Adventure,Fantasy",112,Rob Cohen,"producer,director,actor",1949,alive,5.2,163587,4.461208499972436,175000000,102491776,405760225
Evan Almighty,22/6/07,"Comedy,Family,Fantasy",96,Tom Shadyac,"producer,director,actor",1958,alive,5.4,149654,4.602496044740389,175000000,100289690,174131329
Waterworld,28/7/95,"Action,Adventure,Sci-Fi",135,Kevin Reynolds,"director,writer,assistant_director",1952,alive,6.2,199278,5.434511880928196,175000000,88246220,264246220
Dolittle,8/1/20,"Adventure,Comedy,Family",101,Stephen Gaghan,"writer,miscellaneous,producer",1965,alive,5.6,66038,4.440769205140128,175000000,77047065,251509052
King Arthur: Legend of the Sword,11/5/17,"Action,Adventure,Drama",126,Guy Ritchie,"writer,director,producer",1968,alive,6.7,220293,5.932832650667543,175000000,39175066,139630336
47 Ronin,6/12/13,"Action,Drama,Fantasy",128,Carl Rinsch,"director,writer,assistant_director",\N,alive,6.2,162556,5.341600856770748,175000000,38362475,151716815
Top Gun: Maverick,20/5/22,"Action,Drama",130,Joseph Kosinski,"director,writer,producer",1974,alive,8.3,514562,7.899179357152834,170000000,718732821,1484765287
Jurassic World: Fallen Kingdom,6/6/18,"Action,Adventure,Sci-Fi",128,J.A. Bayona,"director,producer,writer",1975,alive,6.1,321196,5.558971046313156,170000000,417719760,1308323302
Guardians of the Galaxy,31/7/14,"Action,Adventure,Comedy",121,James Gunn,"writer,producer,director",1966,alive,8,1187949,8.101365102817615,170000000,333714112,770882395
Iron Man 2,7/5/10,"Action,Sci-Fi",124,Jon Favreau,"producer,actor,director",1966,alive,6.9,824074,6.783634882943762,170000000,312433331,621156389
Captain America: The Winter Soldier,28/3/14,"Action,Adventure,Sci-Fi",136,-,-,-,-,7.8,852631,7.7052021923655865,170000000,259746958,714401889
Dawn of the Planet of the Apes,9/7/14,"Action,Adventure,Drama",130,Matt Reeves,"producer,writer,director",1966,alive,7.6,446158,7.142103671503376,170000000,208545589,710644566
The Polar Express,10/11/04,"Adventure,Animation,Comedy",100,Robert Zemeckis,"producer,writer,director",1952,alive,6.6,219432,5.840413678712384,170000000,188042855,312183437
Snow White and the Huntsman,30/5/12,"Action,Adventure,Drama",127,Rupert Sanders,"director,writer,producer",1971,alive,6.1,292619,5.517151060037797,170000000,155136755,401021746
Terminator 3: Rise of the Machines,1/7/03,"Action,Sci-Fi",109,Jonathan Mostow,"director,producer,writer",1961,alive,6.3,403631,5.851446304231187,170000000,150358296,433058296
Van Helsing,5/5/04,"Action,Adventure,Fantasy",131,Stephen Sommers,"producer,writer,director",1962,alive,6,270620,5.390042908564552,170000000,120150546,300150546
Dumbo,27/3/19,"Adventure,Family,Fantasy",112,Tim Burton,"producer,miscellaneous,director",1958,alive,6.3,77707,5.087766133,170000000,114766307,353166307
Godzilla: King of the Monsters,29/5/19,"Action,Adventure,Fantasy",132,Michael Dougherty,"writer,director,actor",1974,alive,6,186254,5.225115076828253,170000000,110500138,383299914
Tomorrowland,20/5/15,"Action,Adventure,Family",130,Brad Bird,"miscellaneous,writer,director",1957,alive,6.4,184529,5.5778632704473186,170000000,93436322,206627518
Alita: Battle Angel,1/2/19,"Action,Adventure,Sci-Fi",122,Robert Rodriguez,"producer,writer,director",1968,alive,7.3,273115,6.591377589208935,170000000,85838210,401900040
Alice Through the Looking Glass,20/5/16,"Adventure,Family,Fantasy",113,James Bobin,"writer,director,producer",1972,alive,6.2,112013,5.171721309193891,170000000,77042381,276928112
Jurassic World: Dominion,1/6/22,"Action,Adventure,Sci-Fi",147,Colin Trevorrow,"writer,producer,director",1976,alive,5.6,168517,4.826752647994571,165000000,376851080,1003775632
Shrek Forever After,21/5/10,"Adventure,Animation,Comedy",95,Mike Mitchell,"miscellaneous,writer,director",1970,alive,6.3,209632,5.547770303831174,165000000,238736787,756244673
Doctor Strange,24/10/16,"Action,Adventure,Fantasy",115,Scott Derrickson,"producer,director,writer",1966,alive,7.5,750205,7.333156664315835,165000000,232641920,676343174
Big Hero 6,25/10/14,"Action,Adventure,Animation",102,-,-,-,-,7.8,467348,7.360151829568933,165000000,222527828,648415024
How to Train Your Dragon,26/3/10,"Action,Adventure,Animation",98,-,-,-,-,8.1,747074,7.927863055514934,165000000,217581232,494870992
Wreck-It Ralph,1/11/12,"Adventure,Animation,Comedy",101,Rich Moore,"miscellaneous,director,animation_department",1963,alive,7.7,428462,7.214885290722206,165000000,189412677,496511521
Interstellar,5/11/14,"Adventure,Drama,Sci-Fi",169,Christopher Nolan,"writer,producer,director",1970,alive,8.6,1852238,8.999899058,165000000,188017894,648785349
Dune,15/9/21,"Action,Adventure,Drama",155,Denis Villeneuve,"director,writer,editor",1967,alive,8,645897,7.7427050315779695,165000000,108327830,392073640
Independence Day: Resurgence,22/6/16,"Action,Adventure,Sci-Fi",120,Roland Emmerich,"writer,producer,director",1955,alive,5.2,181742,4.501473526,165000000,103144286,384169424
Beauty and the Beast,16/3/17,"Adventure,Family,Fantasy",129,Bill Condon,"director,writer,producer",1955,alive,7.1,313837,6.479781380853268,160000000,504014165,1268697483
Aquaman,6/12/18,"Action,Adventure,Fantasy",143,James Wan,"producer,writer,director",1977,alive,6.8,480429,6.413452704726316,160000000,335061807,1143758700
Shrek the Third,17/5/07,"Adventure,Animation,Comedy",93,-,-,-,-,6.1,312571,5.546754541465955,160000000,322719944,807330936
Inception,16/7/10,"Action,Adventure,Sci-Fi",148,Christopher Nolan,"writer,producer,director",1970,alive,8.8,2368570,9.371470113829352,160000000,292576195,728537960
The Hunger Games: Mockingjay - Part 2,18/11/15,"Action,Adventure,Sci-Fi",137,Francis Lawrence,"director,producer,writer",1971,alive,6.5,332978,5.949366732004011,160000000,281723902,647396133
Godzilla,14/5/14,"Action,Adventure,Sci-Fi",123,Gareth Edwards,"visual_effects,director,writer",1975,alive,6.4,418010,5.9629017545942045,160000000,200676069,529076069
X-Men: First Class,3/6/11,"Action,Sci-Fi",131,Matthew Vaughn,"producer,director,writer",1971,alive,7.7,697895,7.491275506755403,160000000,146408305,355408305
The Curious Case of Benjamin Button,25/12/08,"Drama,Fantasy,Romance",166,David Fincher,"producer,director,actor",1962,alive,7.8,657446,7.556012421888529,160000000,127509326,329631958
The Sorcerer's Apprentice,14/7/10,"Action,Adventure,Family",109,Jon Turteltaub,"producer,director,writer",1963,alive,6.1,164251,5.257975302687107,160000000,63150991,217986320
Poseidon,12/5/06,"Action,Adventure,Thriller",98,Wolfgang Petersen,"director,writer,producer",1941,2022,5.7,106477,4.722759079482731,160000000,60674817,181674817
Warcraft,25/5/16,"Action,Adventure,Fantasy",123,Duncan Jones,"director,writer,producer",1971,alive,6.7,267059,6.027731618710921,160000000,47365290,438899824
Deepwater Horizon,29/9/16,"Action,Drama,History",107,Peter Berg,"producer,actor,writer",1964,alive,7.1,171800,6.165023185001641,156000000,61433527,122359309
Godzilla vs. Kong,25/3/21,"Action,Sci-Fi,Thriller",113,Adam Wingard,"director,editor,cinematographer",1982,alive,6.3,213088,5.555349654572242,155000000,100916094,468043852
Pacific Rim: Uprising,16/3/18,"Action,Adventure,Fantasy",111,Steven S. DeKnight,"producer,writer,director",\N,alive,5.6,119459,4.684991450671371,155000000,59874525,290930148
Alexander,24/11/04,"Action,Biography,Drama",175,Oliver Stone,"director,producer,writer",1946,alive,5.6,171605,4.834234401037886,155000000,34297191,167297191
War for the Planet of the Apes,14/7/17,"Action,Adventure,Drama",140,Matt Reeves,"producer,writer,director",1966,alive,7.4,261392,6.65959008,152000000,146880162,489592267
Pearl Harbor,25/5/01,"Action,Drama,History",183,Michael Bay,"producer,director,actor",1965,alive,6.2,336658,5.673709952969494,151500000,198539855,449239853
